"","trt","code","value","time","row","column","temperature","B12","bacteria","rep","combined.trt","dtime","type"
"129","B1","X27",77.5696,2024-02-29 11:03:00,"B",1,"27","1","1",1,"27 1 1 1",9.96388888888889,"1 1"
"130","B1","X27",165.5352,2024-02-24 11:06:00,"B",1,"27","1","1",1,"27 1 1 1",4.96597222222222,"1 1"
"131","B1","X27",53.0608,2024-02-21 11:02:00,"B",1,"27","1","1",1,"27 1 1 1",1.96319444444444,"1 1"
"132","B1","X27",22.5734,2024-02-20 11:03:00,"B",1,"27","1","1",1,"27 1 1 1",0.963888888888889,"1 1"
"133","B2","A12",32.884,2024-02-27 11:38:00,"B",2,"12","1","0",2,"12 0 1 2",7.98819444444444,"1 0"
"134","B2","A12",22.2092,2024-02-23 11:31:00,"B",2,"12","1","0",2,"12 0 1 2",3.98333333333333,"1 0"
"135","B2","A12",13.881,2024-02-22 11:30:00,"B",2,"12","1","0",2,"12 0 1 2",2.98263888888889,"1 0"
"136","B2","A12",19.7716,2024-02-19 11:55:00,"B",2,"12","1","0",2,"12 0 1 2",0,"1 0"
"137","B2","A12",9.3578,2024-02-20 11:03:00,"B",2,"12","1","0",2,"12 0 1 2",0.963888888888889,"1 0"
"138","B2","A12",28.579,2024-02-28 10:59:00,"B",2,"12","1","0",2,"12 0 1 2",8.96111111111111,"1 0"
"139","B2","A12",36.5764,2024-02-26 11:31:00,"B",2,"12","1","0",2,"12 0 1 2",6.98333333333333,"1 0"
"140","B2","A12",27.5472,2024-02-24 11:06:00,"B",2,"12","1","0",2,"12 0 1 2",4.96597222222222,"1 0"
"141","B2","A12",25.6842,2024-03-01 11:59:00,"B",2,"12","1","0",2,"12 0 1 2",11.0027777777778,"1 0"
"142","B2","A12",10.429,2024-02-21 11:02:00,"B",2,"12","1","0",2,"12 0 1 2",1.96319444444444,"1 0"
"143","B2","A12",29.742,2024-02-29 11:03:00,"B",2,"12","1","0",2,"12 0 1 2",9.96388888888889,"1 0"
"144","B2","A12",35.567,2024-02-25 11:35:00,"B",2,"12","1","0",2,"12 0 1 2",5.98611111111111,"1 0"
"145","B2","A16",56.7406,2024-02-27 11:38:00,"B",2,"16","1","0",2,"16 0 1 2",7.98819444444444,"1 0"
"146","B2","A16",76.8356,2024-02-23 11:31:00,"B",2,"16","1","0",2,"16 0 1 2",3.98333333333333,"1 0"
"147","B2","A16",48.3134,2024-02-22 11:30:00,"B",2,"16","1","0",2,"16 0 1 2",2.98263888888889,"1 0"
"148","B2","A16",24.8534,2024-02-19 11:55:00,"B",2,"16","1","0",2,"16 0 1 2",0,"1 0"
"149","B2","A16",15.5434,2024-02-20 11:03:00,"B",2,"16","1","0",2,"16 0 1 2",0.963888888888889,"1 0"
"150","B2","A16",47.324,2024-02-28 10:59:00,"B",2,"16","1","0",2,"16 0 1 2",8.96111111111111,"1 0"
"151","B2","A16",75.3128,2024-02-26 11:31:00,"B",2,"16","1","0",2,"16 0 1 2",6.98333333333333,"1 0"
"152","B2","A16",88.0632,2024-02-24 11:06:00,"B",2,"16","1","0",2,"16 0 1 2",4.96597222222222,"1 0"
"153","B2","A16",36.7276,2024-03-01 11:59:00,"B",2,"16","1","0",2,"16 0 1 2",11.0027777777778,"1 0"
"154","B2","A16",28.6312,2024-02-21 11:02:00,"B",2,"16","1","0",2,"16 0 1 2",1.96319444444444,"1 0"
"155","B2","A16",41.4442,2024-02-29 11:03:00,"B",2,"16","1","0",2,"16 0 1 2",9.96388888888889,"1 0"
"156","B2","A16",81.2302,2024-02-25 11:35:00,"B",2,"16","1","0",2,"16 0 1 2",5.98611111111111,"1 0"
"157","B2","A19",47.1254,2024-02-27 11:38:00,"B",2,"19","1","0",2,"19 0 1 2",7.98819444444444,"1 0"
"158","B2","A19",101.5988,2024-02-23 11:31:00,"B",2,"19","1","0",2,"19 0 1 2",3.98333333333333,"1 0"
"159","B2","A19",71.509,2024-02-22 11:30:00,"B",2,"19","1","0",2,"19 0 1 2",2.98263888888889,"1 0"
"160","B2","A19",23.954,2024-02-19 11:55:00,"B",2,"19","1","0",2,"19 0 1 2",0,"1 0"
"161","B2","A19",19.5022,2024-02-20 11:03:00,"B",2,"19","1","0",2,"19 0 1 2",0.963888888888889,"1 0"
"162","B2","A19",37.653,2024-02-28 10:59:00,"B",2,"19","1","0",2,"19 0 1 2",8.96111111111111,"1 0"
"163","B2","A19",56.4634,2024-02-26 11:31:00,"B",2,"19","1","0",2,"19 0 1 2",6.98333333333333,"1 0"
"164","B2","A19",85.5356,2024-02-24 11:06:00,"B",2,"19","1","0",2,"19 0 1 2",4.96597222222222,"1 0"
"165","B2","A19",34.4656,2024-03-01 11:59:00,"B",2,"19","1","0",2,"19 0 1 2",11.0027777777778,"1 0"
"166","B2","A19",43.086,2024-02-21 11:02:00,"B",2,"19","1","0",2,"19 0 1 2",1.96319444444444,"1 0"
"167","B2","A19",32.1472,2024-02-29 11:03:00,"B",2,"19","1","0",2,"19 0 1 2",9.96388888888889,"1 0"
"168","B2","A19",79.6686,2024-02-25 11:35:00,"B",2,"19","1","0",2,"19 0 1 2",5.98611111111111,"1 0"
"169","B2","A22",41.0848,2024-02-27 11:38:00,"B",2,"22","1","0",2,"22 0 1 2",7.98819444444444,"1 0"
"170","B2","A22",128.8848,2024-02-23 11:31:00,"B",2,"22","1","0",2,"22 0 1 2",3.98333333333333,"1 0"
"171","B2","A22",105.9916,2024-02-22 11:30:00,"B",2,"22","1","0",2,"22 0 1 2",2.98263888888889,"1 0"
"172","B2","A22",26.455,2024-02-19 11:55:00,"B",2,"22","1","0",2,"22 0 1 2",0,"1 0"
"173","B2","A22",25.5624,2024-02-20 11:03:00,"B",2,"22","1","0",2,"22 0 1 2",0.963888888888889,"1 0"
"174","B2","A22",34.501,2024-02-28 10:59:00,"B",2,"22","1","0",2,"22 0 1 2",8.96111111111111,"1 0"
"175","B2","A22",52.6494,2024-02-26 11:31:00,"B",2,"22","1","0",2,"22 0 1 2",6.98333333333333,"1 0"
"176","B2","A22",104.6992,2024-02-24 11:06:00,"B",2,"22","1","0",2,"22 0 1 2",4.96597222222222,"1 0"
"177","B2","A22",27.0452,2024-03-01 11:59:00,"B",2,"22","1","0",2,"22 0 1 2",11.0027777777778,"1 0"
"178","B2","A22",71.9698,2024-02-21 11:02:00,"B",2,"22","1","0",2,"22 0 1 2",1.96319444444444,"1 0"
"179","B2","A22",30.319,2024-02-29 11:03:00,"B",2,"22","1","0",2,"22 0 1 2",9.96388888888889,"1 0"
"180","B2","A22",72.581,2024-02-25 11:35:00,"B",2,"22","1","0",2,"22 0 1 2",5.98611111111111,"1 0"
"181","B2","A25",27.3302,2024-02-27 11:38:00,"B",2,"25","1","0",2,"25 0 1 2",7.98819444444444,"1 0"
"182","B2","A25",111.3022,2024-02-23 11:31:00,"B",2,"25","1","0",2,"25 0 1 2",3.98333333333333,"1 0"
"183","B2","A25",108.6438,2024-02-22 11:30:00,"B",2,"25","1","0",2,"25 0 1 2",2.98263888888889,"1 0"
"184","B2","A25",22.6306,2024-02-19 11:55:00,"B",2,"25","1","0",2,"25 0 1 2",0,"1 0"
"185","B2","A25",24.6686,2024-02-20 11:03:00,"B",2,"25","1","0",2,"25 0 1 2",0.963888888888889,"1 0"
"186","B2","A25",24.317,2024-02-28 10:59:00,"B",2,"25","1","0",2,"25 0 1 2",8.96111111111111,"1 0"
"187","B2","A25",33.2136,2024-02-26 11:31:00,"B",2,"25","1","0",2,"25 0 1 2",6.98333333333333,"1 0"
"188","B2","A25",65.7564,2024-02-24 11:06:00,"B",2,"25","1","0",2,"25 0 1 2",4.96597222222222,"1 0"
"189","B2","A25",18.8216,2024-03-01 11:59:00,"B",2,"25","1","0",2,"25 0 1 2",11.0027777777778,"1 0"
"190","B2","A25",55.3188,2024-02-21 11:02:00,"B",2,"25","1","0",2,"25 0 1 2",1.96319444444444,"1 0"
"191","B2","A25",20.9896,2024-02-29 11:03:00,"B",2,"25","1","0",2,"25 0 1 2",9.96388888888889,"1 0"
"192","B2","A25",47.2582,2024-02-25 11:35:00,"B",2,"25","1","0",2,"25 0 1 2",5.98611111111111,"1 0"
"193","B2","A27",20.8104,2024-02-27 11:38:00,"B",2,"27","1","0",2,"27 0 1 2",7.98819444444444,"1 0"
"194","B2","A27",85.1328,2024-02-23 11:31:00,"B",2,"27","1","0",2,"27 0 1 2",3.98333333333333,"1 0"
"195","B2","A27",63.25,2024-02-22 11:30:00,"B",2,"27","1","0",2,"27 0 1 2",2.98263888888889,"1 0"
"196","B2","A27",17.5664,2024-02-19 11:55:00,"B",2,"27","1","0",2,"27 0 1 2",0,"1 0"
"197","B2","A27",18.409,2024-02-20 11:03:00,"B",2,"27","1","0",2,"27 0 1 2",0.963888888888889,"1 0"
"198","B2","A27",18.6202,2024-02-28 10:59:00,"B",2,"27","1","0",2,"27 0 1 2",8.96111111111111,"1 0"
"199","B2","A27",25.3446,2024-02-26 11:31:00,"B",2,"27","1","0",2,"27 0 1 2",6.98333333333333,"1 0"
"200","B2","A27",61.8944,2024-02-24 11:06:00,"B",2,"27","1","0",2,"27 0 1 2",4.96597222222222,"1 0"
"201","B2","A27",16.0502,2024-03-01 11:59:00,"B",2,"27","1","0",2,"27 0 1 2",11.0027777777778,"1 0"
"202","B2","A27",39.4012,2024-02-21 11:02:00,"B",2,"27","1","0",2,"27 0 1 2",1.96319444444444,"1 0"
"203","B2","A27",17.3788,2024-02-29 11:03:00,"B",2,"27","1","0",2,"27 0 1 2",9.96388888888889,"1 0"
"204","B2","A27",37.029,2024-02-25 11:35:00,"B",2,"27","1","0",2,"27 0 1 2",5.98611111111111,"1 0"
"205","B2","X13",113.4964,2024-02-27 11:38:00,"B",2,"13","1","1",2,"13 1 1 2",7.98819444444444,"1 1"
"206","B2","X13",48.823,2024-02-23 11:31:00,"B",2,"13","1","1",2,"13 1 1 2",3.98333333333333,"1 1"
"207","B2","X13",29.6896,2024-02-22 11:30:00,"B",2,"13","1","1",2,"13 1 1 2",2.98263888888889,"1 1"
"208","B2","X13",25.4,2024-02-19 11:55:00,"B",2,"13","1","1",2,"13 1 1 2",0,"1 1"
"209","B2","X13",12.418,2024-02-20 11:03:00,"B",2,"13","1","1",2,"13 1 1 2",0.963888888888889,"1 1"
"210","B2","X13",97.6418,2024-02-28 10:59:00,"B",2,"13","1","1",2,"13 1 1 2",8.96111111111111,"1 1"
"211","B2","X13",120.037,2024-02-26 11:31:00,"B",2,"13","1","1",2,"13 1 1 2",6.98333333333333,"1 1"
"212","B2","X13",63.2634,2024-02-24 11:06:00,"B",2,"13","1","1",2,"13 1 1 2",4.96597222222222,"1 1"
"213","B2","X13",83.3976,2024-03-01 11:59:00,"B",2,"13","1","1",2,"13 1 1 2",11.0027777777778,"1 1"
"214","B2","X13",23.0042,2024-02-21 11:02:00,"B",2,"13","1","1",2,"13 1 1 2",1.96319444444444,"1 1"
"215","B2","X13",85.3228,2024-02-29 11:03:00,"B",2,"13","1","1",2,"13 1 1 2",9.96388888888889,"1 1"
